IsomericSMILES,log_odt
C=CCc1ccc2c(c1)OCO2,9.617159389040918
C=CCc1ncc(C)nc1C,8.693753322281665
C=CCl,4.958350700598828
C=COC(C)=O,8.133922712153877
C=C[C@@](C)(O)CCC=C(C)C,9.883970602404695
C=C[C@](C)(O)CCC=C(C)C,11.465544556213738
C=Cc1ccc(O)c(OC)c1,11.076736914175065
C=Cc1ccccc1,8.85655796662515
C=Cc1ccccn1,7.907824620375569
C=Cc1cnc(C)c(CC)n1,8.153841237702547
C=Cc1cnc(CC)c(C)n1,8.153841237702547
C=Cc1cnccn1,8.507316040076413
C=Cc1nc(C)cnc1C,8.195794991463057
C=Cc1nc(C)cnc1CC,9.16131643177779
C=Cc1ncc(C)nc1C,13.088103637779493
C=Cc1ncc(C)nc1CC,13.097810559162207
C=Cc1nccnc1C,9.140222595157407
C=Cc1scnc1C,8.620469198710031
C=O,8.190238913472804
CC,3.08019341942848
CC#CC,6.41600531957815
CC#CCCCCC,8.653105969323944
CC#N,5.158500039226234
CC(=O)/C=C/C1C(C)=CCC(C)C1(C)C,11.01353027765497
CC(=O)/C=C/C1C(C)=CCCC1(C)C,12.283983801058277
CC(=O)/C=C/[C@@H]1C(C)=CCCC1(C)C,10.852620036899289
CC(=O)/C=C/[C@H]1C(C)=CCCC1(C)C,10.77883382273837
CC(=O)C(C)(C)C,8.74542614674861
CC(=O)C(C)=O,10.23598270348184
CC(=O)C(C)C,7.6799021108994685
CC(=O)C(C)S,10.827653719359988
CC(=O)C(O)CC(C)C,7.715728976350966
CC(=O)C(O)Cc1ccccc1,8.80768070584071
CC(=O)C1=CSCCN1,12.553916385972276
CC(=O)C1=NCCC1,12.594341029209527
CC(=O)C1=NCCS1,12.673543066196707
CC(=O)C=C(C)C,7.728698540659122
CC(=O)C=CC1=C(C)CCCC1(C)C,9.214044257857658
CC(=O)CC(C)(C)O,6.491976032703426
CC(=O)CC(C)(C)S,12.519263437784618
CC(=O)CC(C)=O,9.398447836194661
CC(=O)CC(C)C,7.959305966693692
CC(=O)CC(C)S,11.414635978035431
CC(=O)CC(S)C(C)C,11.68798946745535
CC(=O)CCC(C)C,9.279469215981415
CC(=O)CCC1=C(C)CCCC1(C)C,11.05806411050611
CC(=O)CCC=C(C)C,9.824823955653457
CC(=O)CCCCS,11.644202174392918
CC(=O)CCCS,12.771591155099909
CC(=O)CS,10.049835019424997
CC(=O)N(C)C,6.2395065205201
CC(=O)Nc1ccccc1,5.699503697643603
CC(=O)O,8.2103257518601
CC(=O)OC(C)(C)C,8.533577686313762
CC(=O)OC(C)=O,8.318782869730645
CC(=O)OC(C)C,7.036038235228704
CC(=O)OC(C)CC(C)C,8.542706992406956
CC(=O)OC(C)c1ccccc1,11.914353736636912
CC(=O)OC/C=C(/C)CCC=C(C)C,7.473240778085682
CC(=O)OC/C=C(\C)CCC=C(C)C,7.655498904678226
CC(=O)OC1CCC(C(C)(C)C)CC1,9.910662083545052
CC(=O)OCC(C)C,7.334607681977745
CC(=O)OCC(C)CS,8.84664486361544
CC(=O)OCCC(C)(C)S,11.471634784778304
CC(=O)OCCC(C)C,8.899034774502674
CC(=O)OCCC(C)CCC=C(C)C,8.806467117192017
CC(=O)OCCC(C)S,10.216684809473806
CC(=O)OCCCS,10.173510006393649
CC(=O)OCCOC(C)=O,8.386623796125077
CC(=O)OCCc1ccccc1,10.088278933936085
CC(=O)OCc1ccccc1,8.661665250873828
CC(=O)Oc1ccc(C)cc1,12.87557342876217
CC(=O)c1c(C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1C,11.929209968757142
CC(=O)c1cc2c(cc1C)C(C)(C)C(C)C2(C)C,10.561987303498752
CC(=O)c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C,10.139639423379412
CC(=O)c1ccc(C)cc1,10.738605688988086
CC(=O)c1ccccc1,10.079727389727307
CC(=O)c1cnccn1,11.484751697635113
CC(=O)c1nccs1,10.496955917069853
CC(C)(C)C(=O)CS,10.8202934334486
CC(C)(C)C=O,7.096325525265518
CC(C)(C)N,8.15657884201168
CC(C)(C)O,6.132699168760787
CC(C)(C)S,10.67640960127482
CC(C)(C)SC(C)(C)C,8.660091379275219
CC(C)(C)[Si](C)(C)C(C)(C)O,11.241446860345647
CC(C)(C)c1ccc(C=O)cc1,9.397223165567107
CC(C)(C)c1ccc(CCC=O)cc1,10.602089346669395
CC(C)(CO)CS,12.477905894676102
CC(C)(O)CS,10.327113616464969
CC(C)(O)[Si](C)(C1CC1)C1CC1,11.061534938201113
CC(C)(OO)c1ccccc1,9.70527342313352
CC(C)(S)CC=O,11.294469900380246
CC(C)(S)CCO,10.477905894676102
CC(C)(S)CCOC=O,14.71938232541716
CC(C)(S)S,15.478049170360661
CC(C)=C1CC[C@@H](C)CC1=O,11.07337328133101
CC(C)=CCC/C(C)=C/C=O,9.816323337194312
CC(C)=CCC/C(C)=C/CO,9.873528819641933
CC(C)=CCC/C(C)=C\C=O,10.238037544955628
CC(C)=CCC/C(C)=C\CO,10.255089949651195
CC(C)=CCCC(C)(O)C=[Si],9.970842575507083
CC(C)=CCCC(C)CC=O,11.627946653590367
CC(C)=CCCC(C)CCO,10.820555733545723
CC(C)=CCC[C@@H](C)CCO,9.54335783518252
CC(C)=CCC[C@H](C)CCO,9.54335783518252
CC(C)=CCS,13.527745217391653
CC(C)=C[C@@H]1C[C@H](C)CCO1,10.58617362786533
CC(C)=C[C@H]1C[C@@H](C)CCO1,12.037718621361302
CC(C)=C[C@H]1C[C@H](C)CCO1,9.121464165008184
CC(C)=O,6.068005007286786
CC(C)C,5.157462532179974
CC(C)C(=O)O,9.831062132474829
CC(C)C(=O)OCC(C)(C)C(O)C(C)C,8.571670688342271
CC(C)C(=O)OCC(C)(C)C(OC(=O)C(C)C)C(C)C,10.310863174272544
CC(C)C(C)C,7.759305151803157
CC(C)C1=CC=C(C=O)CC1,11.026215650858905
CC(C)C=O,9.598720457246603
CC(C)CC(=O)C(C)O,7.99388022673461
CC(C)CC(=O)CC(C)C,7.184544901532112
CC(C)CC(=O)O,10.57252154949734
CC(C)CC(=O)OC(C)S,7.65874541416526
CC(C)CC(C)(C)C,7.566426086754059
CC(C)CC(C)C,5.061370139753255
CC(C)CC(C)O,7.863225111615233
CC(C)CC(O)CC(C)C,8.88038630586292
CC(C)CC=O,10.731054633346849
CC(C)CCC(=O)O,10.141578940846106
CC(C)CCCC(C)CCO,11.301812669270646
CC(C)CCO,8.880764327408421
CC(C)CCOC=O,5.891870334943745
CC(C)CCS,13.499428794685938
CC(C)CN,10.210936504334272
CC(C)CO,7.508636027052368
CC(C)COC(=O)C(C)C,7.696609424950572
CC(C)COC(=O)CC(C)C,9.667840101732523
CC(C)COC=O,7.6869467940944824
